video_id,title,channel,published_at,view_count,duration_sec,topic,tone,prosocial,risk
eBRSVWIPzDo,The Youngest Mothers InThe World 😳 #reels #shorts,Historian Here,2025-09-01T10:15:13Z,26568430,21.0,,,0,0
XHLs8aYhgdw,Wait For End 💀🤣 | Mini Vlog #shorts #minivlog #ashortaday #vlog #tranding #cats #cat,Sirf Shreyansh,2025-09-22T13:50:02Z,75812131,49.0,,,0,0
8NsYUqwiO-0,I Brought Multiple Of ELVES ON A SHELF Into Our HAUNTED HOUSE! Part 2 #shorts,Robby and Penny,2024-12-14T17:25:25Z,26997970,47.0,,,0,0
DhN4B8J3HzA,THIS WAS TOO FUNNY 🤣🤣#dance #shorts #short,Venus Monee,2025-06-03T17:29:05Z,6811608,11.0,,,0,0
KGFK6xLeroE,when sisters have boyfriends but not forget you. #viral #trending #shorts,H&T Official,2024-04-10T08:01:09Z,27464410,58.0,,,0,0
47NM_WcNPtM,She Wears WRONG Slippers! 🤣 #funny #shorts,Bloxarium,2025-08-31T09:46:00Z,241955269,11.0,,,0,0
c3kJGMRf2aM,If BRAINROTS Could Talk PART TWO fr #shorts #viral,Bummkinn,2025-10-24T20:16:52Z,10099377,62.0,,,0,0
D4L979cADXs,Boy's Stationery vs. Girl's Stationery 💙💗#youtubeshorts #shorts #stationery #cute #boysvsgirls,Jasmine Studio,2024-08-01T17:00:07Z,77059312,16.0,,,0,0
VxzygJXS3RY,Fod di matki😂 #shorts #funny #comedy,sonu.indori,2025-08-14T14:38:28Z,24937410,48.0,,,0,0
4MEOFXJyekM,Make ice cream with me #asmr #food #icecream #asmrfood #satisfying #lifestyle #shorts,The Princess Daily Life,2025-08-24T05:31:22Z,5590264,37.0,,,0,0
tt-FaLPLAUE,The One Paltu Sasu 😂 | #shorts | Shorts Break,Shorts Break,2025-12-23T03:32:34Z,5197024,73.0,,,0,0
BXj8atS0GXA,Trip to Thailand with Friends 😂 #Shorts #Viral #trending,The Thoughtful Girl,2025-09-01T10:56:25Z,7442044,9.0,,,0,0
8PvRGqD6Nk8,Londyns first dance competition!! #dlafam #londyn #shorts,THE DLA FAM ,2025-04-11T23:12:59Z,18567134,37.0,,,0,0
CGHBufX3HA4,Which one is better? #iigen #shorts #stationery #viral,iigenstationery,2025-05-20T10:00:31Z,57758310,16.0,,,0,0
5oI-qMCZ5dM,Puffed Rice Ball,Nick DiGiovanni,2025-07-27T16:00:07Z,60861074,31.0,,,0,0
0gFRfJvZcRM,Stretchiest Phone Case… #shorts,TechJoyce,2024-11-10T20:59:52Z,28414085,60.0,,,0,0
bnD83-BQZMA,Tag your bestfriend 😂❤️ #youtubeshorts  #youtube #bestfriend #shorts #bff #ownvoice,Charul Kandhari,2025-08-17T06:57:09Z,21307751,14.0,,,0,0
xzmM0i8Vp2Q,Har School m aisi teachers jarur hoti hai 👩‍🏫 #shorts #funnyshorts #teacherlife #ytshorts,Sejal Gaba,2024-11-06T08:08:45Z,42365309,61.0,,,0,0
UPySIokNM_I,Cute cat dance 😺 #reels #cat #catvideos #funnycatvideos #shorts #trendingshorts #ytcat #funny #cute,cat lover dubey,2025-02-02T16:52:52Z,51322472,8.0,,,0,0
y8w0g6gfGgE,Wait for the twist 😂 #comedy #comedyvideo #shorts #youtubeshorts #funny #funnyvideo,Asif Dramaz,2025-09-07T13:50:01Z,3158909,15.0,,,0,0
8rlLqPt7XPM,Bro Theatre  ulla poitu biriyani seinga bro🤫❤️#food #shorts #theatre #challenge #biryani #tamil,Tiya Vlogs,2025-07-29T10:33:55Z,10323865,60.0,,,0,0
HdOKqgAV7JA,Wait for the twist 😂 #comedy #comedyvideo #shorts #youtubeshorts #funny #funnyvideo,Asif Dramaz,2025-07-21T13:50:01Z,9108810,13.0,,,0,0
9qjnM6s25os,Wednesday Funny Moment ❤️ #shorts,BoomBibo,2023-03-28T11:29:00Z,193666196,9.0,,,0,0
nXd6vsxQlXo,That One Student Who is Good at Art😃🎨#sharmilageorge #shorts,Sharmila George,2025-09-06T12:00:02Z,4776669,60.0,,,0,0
k2Wu6Ev-ypA,3 Rs vechitu munu Vela sapdunga bro😮😍#food #shorts #challenge #tiyavlogs21 #tamil #foodchallenge,Tiya Vlogs,2025-08-03T10:29:09Z,5665238,60.0,,,0,0
dsdX-cf_RQA,perfect things pt 17 #shorts #viralshorts,AkzafeerX,2025-07-21T07:35:00Z,9810166,22.0,,,0,0
bHOLUiY0y30,INDIAN MOM THINGS #shorts #mom #india #family #home #priorities #comedy #funny #parents #explore,Baccha Mat Bolna,2025-04-24T06:40:29Z,45740952,42.0,,,0,0
hRdXWzuIX70,🤗😜Aaj banaya family ko April fool | Minivlog | Shorts | #minivlog #shorts #dailyvlog #familyvlog,Diksha Ki Dunia,2025-04-02T12:07:00Z,6633677,55.0,,,0,0
KHKbFIV0TNc,Mom’s Friend’s Son ❤️😂 | @RajGrover005 | #shorts,Raj Grover,2022-01-21T14:24:14Z,78325183,32.0,,,0,0
iyPIrlfEcgs,Momo Ya Maggie 😂🥵 #shorts #trending #trendingshorts #viral,Sandeep Bhatt Vlogs,2025-08-01T08:08:08Z,42510448,26.0,,,0,0
VErinzDd-DU,That foodie 😅 #shorts #trendingonshorts #funny #celebratewithshorts,Praveen Pranav,2023-12-24T07:30:06Z,12367950,34.0,,,0,0
iwnNWYCaSN8,School m aayi police 🤣 #bobbyprankster #shorts #funny,Bobby chourasiya,2025-01-29T08:37:44Z,4351576,58.0,,,0,0
GJxIUtIlRGs,“just checking it was me“ - Salish | #crush #salishmatter #youtubeshorts #shorts #viralvideo #ship,nalishxwonder,2025-08-12T14:12:52Z,5305373,42.0,,,0,0
HPwEMRVkHbI,"Share this reel to that  ""ODD ONE ""😊  #relatable #asiavillemalayalam #ytshorts #gym",Asiaville Malayalam,2024-11-29T07:00:09Z,8692744,53.0,,,0,0
CvZImvzcBRs,When You Have Short Height Wife😂 #shorts #ytshorts #teratrigun #shortheight,Tera Trigun,2025-09-11T08:30:07Z,48935777,55.0,,,0,0
phvFQyxadf0,Judwa Princess video is OUT! Check it out on YouTube. 💕 #youtubeshorts #princesspari #shorts #yt,Pari's Lifestyle Shorts,2023-02-16T13:30:20Z,11462275,9.0,,,0,0
Y7T8U31Ha68,POV The princess tries to relate to her servant.. ib: @briannamizura #funny #shortsfeed,Brianna Guidryy,2024-10-04T21:11:57Z,753275,9.0,,,0,0
CKuJmOpOu9o,"CATCH IT, YOU KEEP IT with MOM‼️💕 #shorts",ZoeTube,2024-12-03T13:09:02Z,15922966,59.0,,,0,0
gGIaeJN71FQ,Happy Raksha Bandhan ✨😍✨ #comedy #comedyvideo #shorts #youtubeshorts #funny #funnyvideo,Asif Dramaz,2025-08-09T07:00:44Z,14836239,22.0,,,0,0
68Zm5ylOC_g,She is on fire🌶️👧🏻🔥#shorts #couple #relationship,NickandCarrie,2025-11-13T13:36:12Z,7523708,52.0,,,0,0
gOx_1VGkMSI,amaira n y kya kiya🤩🤣 #shorts #thegeetagurjar,The geeta gurjar,2024-10-18T15:27:04Z,54244487,11.0,,,0,0
oYECtpr3cqQ,How Much I Spend in a Day #minivlog #ytshorts #shorts,Swara Singh,2024-11-28T07:55:10Z,12443232,55.0,,,0,0
83q6YW8DJbw,😭😢Aaj fir se nikle aansu | Minivlog | Shorts | #minivlog #shorts #dailyvlog #familyvlog,Diksha Ki Dunia,2025-09-12T12:30:11Z,4837170,56.0,,,0,0
w6OPwn-blms,That teacher in school picnic  😂 #shorts #viral #explorepage #relatable,Fiza khan Spn ,2025-10-22T12:33:11Z,4206869,41.0,,,0,0
C8jUv0Pf7is,Nibba Nibbi Fight on Bike 😆 | #shorts | Shorts Break,Shorts Break,2025-01-28T03:30:08Z,21751878,55.0,,,0,0
efwlDzNFHrY,Fayas ku vantha sothanai🤣 #shorts #shortvideo #shortsfeed #trending #funny #comedy #like #bike,NRFM-VLOGS,2025-02-28T11:29:41Z,16827627,58.0,,,0,0
1QvyRbTe9YI,Every nibbi on KARVA CHAUTH 🤣🤌🏻 #shorts,Kratika Moyal,2025-10-08T13:12:18Z,46987187,58.0,,,0,0
XHWtuUxsTEY,Who's is your favourite couple 🤔😘 ❤️‍🔥#tiktok #crazycasa #timtin #shorts #trending #foryou #fyp#yt,TIM TIN LILY,2025-07-07T15:58:57Z,21514558,9.0,,,0,0
5uxmbG22KVk,Amaira n foto ko samjha lollipop 🤣 #shorts #thegeetagurjar ￼,The geeta gurjar,2025-03-19T16:18:55Z,90459444,15.0,,,0,0
Te9F4dFSxpo,10 rs ke Momos 😂 #shorts #comedy #momowala #ytshorts,Sahil Pasrija,2024-09-22T17:05:49Z,54945492,18.0,,,0,0
UElkbCq1pw8,Cheesiest Veg Burger in Delhi😍 #shorts #trending #burger #cheese,Delhiicious,2022-11-01T06:30:04Z,116093035,13.0,,,0,0
iVnszzADMr8,Ye toh mast Scheme hai 🤣 #shorts #ytshorts #comedy #comedyvideos #funny #teratrigun,Tera Trigun,2024-10-18T12:58:11Z,10814892,60.0,,,0,0
E7qWFWQh_sk,Relatable😂💯 #funny #shorts #viral #comedy #youtubeshorts,Ubed Sk,2025-07-23T12:51:47Z,131397207,19.0,,,0,0
FWPzJ4uoiHY,A wax candy set would cost this much💰 #shorts #candy,Sweets,2025-06-21T19:44:45Z,5879006,46.0,,,0,0
crbTpk3bHqo,Wait for the twist 😂 #comedy #comedyvideo #shorts #youtubeshorts #funny #funnyvideo,Asif Dramaz,2025-08-07T13:50:00Z,15933022,11.0,,,0,0
aXC2EaXn_tk,Yes ma’am !! #rjkarishma #shorts,rjkarishma,2025-02-20T04:28:30Z,65881671,60.0,,,0,0
CUnDm93pRMY,Only Girls Will Understand | Anisha Dixit | #shorts,Anisha Dixit,2024-07-31T12:30:09Z,29720461,12.0,,,0,0
obV2tDuMbGk,Respect 🥹❤️ || Watch till end || #shorts,Gulshan kalra official,2025-04-18T12:31:02Z,22319564,60.0,,,0,0
8-tVlZE_dx4,✨Ultimate ASMR💎Diamond Painting😍 #diamondpainting #satisfying #asmr #shorts #diy #art #craft #gift,Kaki Mayhall,2024-11-08T17:04:28Z,126613935,20.0,,,0,0
jMJ1bBQdOsc,Choose one🤩#للبنات #choose #shortvideos #reels #viral #vs #shorts #video,T OR T,2025-12-24T14:57:18Z,25136,24.0,,,0,0
n6J4bKBQk3E,Mom Solves Siblings Balloon Problem! ♥️🥰🤣 #shorts,Rocking fun with Nadeem,2025-12-21T12:45:18Z,477649,5.0,,,0,0
k1FiCsy0Eyk,Brother Saves the Day 🦸🥰🤗 #shorts #viralvideo #trendingshorts #funnyshorts,Misti Happy Lifestyle Games & Shorts,2025-12-22T03:44:00Z,1978281,15.0,,,0,0
rW_A3S0n7fg,Luccha Titu💀😂 #comedy #chetanmonga #shorts,Cheri's World,2025-07-03T08:52:31Z,15058047,27.0,,,0,0
